Year,Total Investment,Capital at Charge,Gross Traffic Receipts,Misc. Receipts,Total Revenue Receipts,Total Working Expenses,Misc. Expd.,Total Revenue Expd.,Net Revenue Receipts,Payment to General Revenue,Surplus/Deficit,Operating Ratio,Ratio of Net Revenue to Capital at Charge,Expenditure on Works against Development Fund
2002-03,77915.8,51099.1,41068.2,1673.3,42741.5,38025.8,885.5,38911.3,3830.2,2714.8,1115.4,92.34,7.5,NA
2003-04,87474.5,56061.8,42904.9,2005.7,44910.6,39482.2,949.9,40432.1,4478.5,3387.1,1091.4,92.19,7.99,NA
2004-05,98490,59346.9,47370.2,1676.4,49046.6,42758.9,1014.2,43773.1,5273.5,3199.3,2074.2,90.98,8.89,NA
2005-06,112180.4,65878.4,54491.4,2260.6,56752,45291.6,1120.5,46412.1,8005.9,3667.9,4338,83.72,12.15,NA
2006-07,130168.7,76030.7,62731.5,2054.3,64785.8,49046.5,1286.5,50333,14453.1,4246.8,10206.3,78.68,24.1,NA
2007-08,151055.9,73745,71720.1,1556.5,73276.6,54462.2,480.4,54942.6,18334,4902.9,13431.1,75.94,24.86,NA
2008-09,176287,83290.4,79861.8,1797.1,81658.9,71839.3,645.2,72484.5,9174.4,4717.7,4456.7,90.46,9.63,NA
2009-10,202868.9,100201.4,86964,2265.3,89229.3,82915.4,769.8,83685.2,1495.5,5543.3,-4047.8,95.48,5.53,NA
2010-11,231121.1,118586.3,94535.6,2145.4,96681,89474.2,860.7,90334.9,1284.7,4941.3,-3656.6,94.59,3.75,NA
2011-12,257463.3,138547.3,104110.4,2134.9,106245.3,98667.4,796.3,99463.7,1338.7,5656,-4317.3,94.85,4.49,NA
2012-13,288849.1,162678.9,123732.6,2447.8,126180.4,111572,993.2,112565.2,1454.6,5348.9,-3894.3,90.19,7.42,NA
2013-14,324820.6,189746.2,139558.2,3657,143215.2,130320.8,1144,131464.8,2511.6,8008.7,-5497.1,93.6,5.63,NA
